"Plan","Priority","Status"
"CIM - 2020-AUG Regression","2 - Medium","Passed"
"CIM - 2020-AUG Regression","2 - Medium","Passed"
"CIM - 2020-AUG Regression","2 - Medium","Passed"
"CIM - 2020-AUG Regression","1 - High","Passed"
"CIM - 2020-AUG Regression","1 - High","Passed"
"CIM - 2020-AUG Regression","1 - High","Passed"
"CIM - 2020-AUG Regression","1 - High","Passed"
"CIM - 2020-AUG Regression","1 - High","Untested"
"CIM - 2020-AUG Regression","1 - High","Untested"
"CIM - 2020-AUG Regression","1 - High","Untested"
"CIM - 2020-AUG Regression","1 - High","Passed"
"CIM - 2020-AUG Regression","1 - High","Passed"
"CIM - 2020-AUG Regression","1 - High","Passed"
"CIM - 2020-AUG Regression","1 - High","Untested"
"CIM - 2020-AUG Regression","1 - High","Untested"
"CIM - 2020-AUG Regression","1 - High","Passed"
"CIM - 2020-AUG Regression","1 - High","Passed"
"CIM - 2020-AUG Regression","1 - High","Passed"
"CIM - 2020-AUG Regression","1 - High","Passed"
"CIM - 2020-AUG Regression","2 - Medium","Passed"
"CIM - 2020-AUG Regression","1 - High","Untested"
"CIM - 2020-AUG Regression","1 - High","Untested"
"CIM - 2020-AUG Regression","1 - High","Untested"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Known Issue"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Known Issue"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","1 - High","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","3 - Low","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","1 - High","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","1 - High","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","0 - Critical","Untested"
"Compliance - 2020-Aug Regression","0 - Critical","Untested"
"Compliance - 2020-Aug Regression","0 - Critical","Untested"
"Compliance - 2020-Aug Regression","0 - Critical","Untested"
"Compliance - 2020-Aug Regression","0 - Critical","Untested"
"Compliance - 2020-Aug Regression","0 - Critical","Untested"
"Compliance - 2020-Aug Regression","0 - Critical","Untested"
"Compliance - 2020-Aug Regression","0 - Critical","Untested"
"Compliance - 2020-Aug Regression","1 - High","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","1 - High","Untested"
"Compliance - 2020-Aug Regression","1 - High","Untested"
"Compliance - 2020-Aug Regression","1 - High","Untested"
"Compliance - 2020-Aug Regression","1 - High","Untested"
"Compliance - 2020-Aug Regression","1 - High","Untested"
"Compliance - 2020-Aug Regression","1 - High","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","1 - High","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","1 - High","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","3 - Low","Untested"
"Compliance - 2020-Aug Regression","3 - Low","Untested"
"Compliance - 2020-Aug Regression","3 - Low","Untested"
"Compliance - 2020-Aug Regression","3 - Low","Untested"
"Compliance - 2020-Aug Regression","3 - Low","Untested"
"Compliance - 2020-Aug Regression","3 - Low","Untested"
"Compliance - 2020-Aug Regression","3 - Low","Untested"
"Compliance - 2020-Aug Regression","3 - Low","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","1 - High","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","1 - High","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","3 - Low","Untested"
"Compliance - 2020-Aug Regression","3 - Low","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","1 - High","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Untested"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Compliance - 2020-Aug Regression","2 - Medium","Passed"
"Daily Reconciliations - 2020-Aug Regression","0 - Critical","Passed"
"Daily Reconciliations - 2020-Aug Regression","0 - Critical","Passed"
"Daily Reconciliations - 2020-Aug Regression","0 - Critical","Passed"
"Daily Reconciliations - 2020-Aug Regression","0 - Critical","Passed"
"Daily Reconciliations - 2020-Aug Regression","0 - Critical","Passed"
"Daily Reconciliations - 2020-Aug Regression","0 - Critical","Passed"
"Daily Reconciliations - 2020-Aug Regression","0 - Critical","Passed"
"Daily Reconciliations - 2020-Aug Regression","0 - Critical","Passed"
"Daily Reconciliations - 2020-Aug Regression","0 - Critical","Passed"
"Daily Reconciliations - 2020-Aug Regression","0 - Critical","Passed"
"Daily Reconciliations - 2020-Aug Regression","0 - Critical","Passed"
"Daily Reconciliations - 2020-Aug Regression","0 - Critical","Passed"
"Daily Reconciliations - 2020-Aug Regression","0 - Critical","Passed"
"Daily Reconciliations - 2020-Aug Regression","0 - Critical","Passed"
"Daily Reconciliations - 2020-Aug Regression","0 - Critical","Passed"
"Daily Reconciliations - 2020-Aug Regression","1 - High","Passed"
"Daily Reconciliations - 2020-Aug Regression","3 - Low","Passed"
"Daily Reconciliations - 2020-Aug Regression","1 - High","Passed"
"Daily Reconciliations - 2020-Aug Regression","1 - High","Passed"
"Daily Reconciliations - 2020-Aug Regression","0 - Critical","Passed"
"Daily Reconciliations - 2020-Aug Regression","2 - Medium","Passed"
"Daily Reconciliations - 2020-Aug Regression","0 - Critical","Passed"
"Daily Reconciliations - 2020-Aug Regression","0 - Critical","Passed"
"Daily Reconciliations - 2020-Aug Regression","0 - Critical","Passed"
"Daily Reconciliations - 2020-Aug Regression","0 - Critical","Passed"
